Ring,Species,Colony,geoID,geo_trip,Producer,start_year,end_year,tol_sep,tol_mar,Date_Time,lon,lat
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-04T19:31:37Z,-15.78861,27.84444
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-05T18:50:36Z,-15.78861,27.84444
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-05T19:51:36Z,-15.78861,27.84444
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-06T05:57:15Z,-15.46748798366447,26.988701797548604
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-06T20:54:55Z,-16.247183131328246,28.650242829888878
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-07T05:51:25Z,-18.637088126954577,28.234004701346315
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-07T20:34:54Z,-17.05953854984388,25.933420191356586
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-08T05:51:28Z,-17.175335828379154,26.18148996898098
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-08T20:37:34Z,-18.24021503903628,25.140917542421626
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-09T06:03:03Z,-18.95189469584218,24.540351397217464
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-09T20:40:53Z,-19.496908919285797,24.51063751138066
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-10T06:07:12Z,-19.881466524205553,24.549594915234376
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-10T20:44:52Z,-19.86989642483202,25.622322737162378
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-11T06:03:22Z,-19.38553337097521,25.51202622398251
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-11T20:39:01Z,-18.318873785507012,25.850551400723166
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-12T05:55:31Z,-17.499006867539155,25.83167543972303
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-12T20:30:15Z,-18.06002613276048,22.5950730743442
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-13T06:12:10Z,-19.607633398150874,22.48122278521334
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-13T20:44:49Z,-48.72502890886116,-17.796865423641272
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-14T14:30:28Z,-15.78861,27.84444
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-14T19:24:47Z,-15.78861,27.84444
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-15T12:40:46Z,-15.78861,27.84444
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-15T17:21:28Z,-15.78861,27.84444
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-16T19:01:30Z,-15.78861,27.84444
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-16T19:20:23Z,-15.78861,27.84444
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-17T17:05:26Z,-15.78861,27.84444
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-17T19:06:26Z,-15.78861,27.84444
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-18T17:30:25Z,-15.78861,27.84444
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-18T19:50:45Z,-15.78861,27.84444
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,0.17300000000000001,0.030000000000000002,2002-07-19T06:01:10Z,-12.962575045831601,15.934197300372466
