Ring,Species,Colony,geoID,geo_trip,Producer,start_year,end_year,Date_Time,tol_sep,tol_mar,lon,lat
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-18T05:35:51Z,0.16333000000000003,0.16678,-0.3811083870339189,-3.808110588824556
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-18T18:29:21Z,0.16333000000000003,0.16678,-1.41260684647399,-6.235921787572462
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-19T05:51:36Z,0.16333000000000003,0.16678,-9.74211032339446,6.508892580285687
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-19T20:46:50Z,0.16333000000000003,0.16678,-19.710573782151723,25.685021299093396
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-20T05:54:49Z,0.16333000000000003,0.16678,-19.435014579688257,24.811554286310955
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-20T20:38:19Z,0.16333000000000003,0.16678,-19.012366003839396,23.35012866550524
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-21T05:58:19Z,0.16333000000000003,0.16678,-18.809193981410523,22.494732287038225
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-21T20:31:07Z,0.16333000000000003,0.16678,-18.517692491086773,21.100032486179945
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-22T06:02:09Z,0.16333000000000003,0.16678,-18.965486354689148,21.25233514069675
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-22T20:36:47Z,0.16333000000000003,0.16678,-18.65560537268425,23.127068425924893
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-23T05:52:55Z,0.16333000000000003,0.16678,-17.915542171235668,23.424922032955404
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-23T20:31:12Z,0.16333000000000003,0.16678,-17.6722196895941,22.386456441420297
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-24T05:55:46Z,0.16333000000000003,0.16678,-17.79465387290299,22.17008101927239
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-24T20:31:17Z,0.16333000000000003,0.16678,-18.5219771573865,20.91368899663092
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-25T06:05:45Z,0.16333000000000003,0.16678,-19.365561286069525,20.71603108176798
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-25T20:38:45Z,0.16333000000000003,0.16678,-18.87647926393787,23.352242857426873
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-26T05:52:25Z,0.16333000000000003,0.16678,-18.726174049803163,25.211464718525836
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-26T20:49:35Z,0.16333000000000003,0.16678,-19.982066394043063,25.83480426212414
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-27T05:58:14Z,0.16333000000000003,0.16678,-19.809201560466622,24.755934527253725
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-27T20:40:38Z,0.16333000000000003,0.16678,-18.584926020878413,24.492422439705688
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-28T05:51:42Z,0.16333000000000003,0.16678,-18.182670214190676,24.90009473273236
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-28T20:39:12Z,0.16333000000000003,0.16678,-17.770395462961194,25.178583997559635
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-29T05:48:12Z,0.16333000000000003,0.16678,-18.032883925231733,26.137764663887967
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-29T20:48:41Z,0.16333000000000003,0.16678,-45.53733547563096,-16.33325305983663
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-30T13:18:11Z,0.16333000000000003,0.16678,-69.62082903069559,-66.62686650510496
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-06-30T19:49:11Z,0.16333000000000003,0.16678,-58.384809431405664,-60.274335090384845
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-01T09:31:49Z,0.16333000000000003,0.16678,-38.09373114927005,-46.515394065510954
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-01T19:34:10Z,0.16333000000000003,0.16678,-49.03240553164056,-55.53313230573017
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-02T13:58:09Z,0.16333000000000003,0.16678,-70.22163843555784,-70.02519517867857
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-02T19:30:54Z,0.16333000000000003,0.16678,-54.271419243928435,-53.093672398305785
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-03T07:20:55Z,0.16333000000000003,0.16678,-20.29925893624664,-17.261841716386805
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-03T19:28:38Z,0.16333000000000003,0.16678,-49.388671356768555,-37.199409766044695
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-04T18:43:37Z,0.16333000000000003,0.16678,-106.38801459761028,-74.6963096759881
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-04T19:36:37Z,0.16333000000000003,0.16678,-106.3858249234066,-74.69753407151316
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-05T18:35:36Z,0.16333000000000003,0.16678,-107.44685739402397,-74.68025615308373
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-05T19:54:06Z,0.16333000000000003,0.16678,-96.59479843493853,-64.39916647764724
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-06T05:55:35Z,0.16333000000000003,0.16678,-15.66919745074994,19.800081345051822
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-06T20:56:35Z,0.16333000000000003,0.16678,-19.982925174729427,28.504851406794927
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-07T05:51:12Z,0.16333000000000003,0.16678,-18.821662591952048,27.405220620524304
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-07T20:36:34Z,0.16333000000000003,0.16678,-17.23946978034813,25.085195379674214
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-08T05:51:14Z,0.16333000000000003,0.16678,-17.32207459444106,25.283008865325
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-08T20:38:34Z,0.16333000000000003,0.16678,-18.30692323090696,24.19732880762219
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-09T06:02:25Z,0.16333000000000003,0.16678,-18.964779711020807,23.568994379401396
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-09T20:41:13Z,0.16333000000000003,0.16678,-19.381316273609617,23.584118266682673
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-10T06:05:32Z,0.16333000000000003,0.16678,-19.7790461733842,23.814191239873796
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-10T20:46:32Z,0.16333000000000003,0.16678,-19.941736209888965,24.941524335580656
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-11T06:02:39Z,0.16333000000000003,0.16678,-19.4852306657331,24.719026686698772
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-11T20:40:16Z,0.16333000000000003,0.16678,-18.343072004153782,25.072534227785532
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-12T05:54:16Z,0.16333000000000003,0.16678,-17.470103400446334,25.04378113358246
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-12T20:30:52Z,0.16333000000000003,0.16678,-18.014489557939925,21.639518067634334
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-13T06:11:20Z,0.16333000000000003,0.16678,-19.630567777707917,21.57768351986663
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-13T20:46:29Z,0.16333000000000003,0.16678,-48.839558342106685,-18.66051020177352
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-14T14:27:58Z,0.16333000000000003,0.16678,-75.03633946774399,-72.15945798548738
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-14T19:26:27Z,0.16333000000000003,0.16678,-69.83205522803607,-71.92423785956866
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-15T12:40:42Z,0.16333000000000003,0.16678,-59.04936311354532,-69.27643753420575
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-15T19:22:28Z,0.16333000000000003,0.16678,-66.00691722261786,-70.80197333479393
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-16T16:37:57Z,0.16333000000000003,0.16678,-88.33676920133688,-75.473896520773
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-16T19:20:39Z,0.16333000000000003,0.16678,-88.67238277716567,-75.52434723721248
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-17T17:04:11Z,0.16333000000000003,0.16678,-90.0875176370092,-76.00981283281895
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-17T19:07:41Z,0.16333000000000003,0.16678,-90.19579266176171,-76.0482834858673
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-18T17:27:55Z,0.16333000000000003,0.16678,-97.79551105973232,-76.06861334322544
6134564,CALBOR,Veneguera,11001,11001001,Biotrack,2002,2003,2002-07-18T19:51:05Z,0.16333000000000003,0.16678,-81.98391318217988,-59.00566811815126
