"Simulation number","Main_seg_D","Category","Main_seg_ang","d_BA","d_WA","tau.z","tau.v","mean_A","min_speed","max_speed","BA_dep","WA_arr","WA_dep","BA_arr"
"854","131","long","4.97","65.5","43.67","6","0.05","124.5","2.17","2.41","163","234","314","379"
"855","116","long","1.32","38.67","29","6","0.06","135.5","2.07","2.44","166","223","313","377"
"856","140","long","2.6","46.67","35","7","0.06","130.5","2.02","2.33","133","210","306","378"
"857","117","long","0.47","39","39","6","0.05","119","2.17","2.41","169","224","348","408"
"858","132","long","4.99","66","33","7","0.04","139","2.08","2.36","153","238","379","441"
"859","117","long","0.52","29.25","39","5","0.04","111.5","2.05","2.44","151","208","361","424"
"860","118","long","2.13","29.5","39.33","6","0.05","146.5","2.01","2.46","125","178","343","409"
"861","134","long","3.65","33.5","44.67","5","0.05","111","2.13","2.39","163","226","359","428"
"862","125","long","3.16","31.25","62.5","5","0.04","129","2.16","2.48","120","179","268","342"
"863","138","long","6.02","46","34.5","5","0.06","123","2.02","2.42","162","238","352","415"
"864","126","long","5.14","63","42","7","0.05","133","2.32","2.42","159","223","324","383"
"865","132","long","3.11","66","44","7","0.06","115","2.1","2.44","173","251","361","426"
"866","131","long","0.15","32.75","32.75","5","0.06","140","2.13","2.36","126","194","270","331"
"867","122","long","4.45","30.5","40.67","5","0.04","110.5","2.02","2.44","137","205","372","431"
"868","136","long","3.2","34","68","7","0.04","131","2.12","2.43","125","188","343","415"
"869","140","long","5.62","46.67","46.67","6","0.04","127.5","2.06","2.33","121","190","308","386"
"870","130","long","5.02","32.5","32.5","5","0.05","109.5","2.1","2.32","150","219","376","439"
"871","135","long","4.07","67.5","33.75","6","0.05","128.5","2.25","2.5","153","227","362","426"
"872","120","long","1.89","40","60","6","0.06","132.5","2.14","2.22","152","216","385","453"
"873","119","long","6.01","29.75","59.5","5","0.05","118.5","2.1","2.29","129","189","366","433"
"874","122","long","2.9","40.67","40.67","7","0.04","111.5","2.14","2.48","120","178","300","361"
"875","118","long","0.15","39.33","29.5","7","0.04","102.5","2","2.46","168","225","377","440"
"876","137","long","4.92","34.25","68.5","7","0.04","127.5","2.14","2.45","146","213","336","411"
"877","121","long","4.94","30.25","40.33","6","0.06","140","2.02","2.21","159","220","322","388"
"878","121","long","4.36","30.25","60.5","7","0.04","126.5","2.31","2.33","131","189","317","383"
"879","132","long","5.9","66","33","5","0.04","108.5","2.06","2.49","139","207","327","389"
"880","127","long","5.56","42.33","31.75","6","0.04","133.5","2.25","2.44","136","202","277","336"
"881","124","long","4.05","41.33","62","6","0.05","126","2.15","2.43","121","183","295","360"
"882","130","long","4.74","65","32.5","7","0.06","130","2","2.5","175","254","353","424"
"883","136","long","4.34","68","34","6","0.05","127.5","2.26","2.41","143","212","384","449"
"884","119","long","4.36","39.67","59.5","6","0.04","121","2.05","2.48","176","246","358","420"
"885","131","long","3.18","43.67","32.75","5","0.06","113.5","2.05","2.49","172","231","335","405"
"886","123","long","4.04","30.75","61.5","7","0.05","142.5","2.13","2.2","161","223","312","378"
"887","123","long","3.78","61.5","30.75","7","0.05","136","2.12","2.42","144","209","317","383"
"888","122","long","2.18","30.5","30.5","6","0.05","114.5","2.03","2.49","152","212","332","386"
"889","135","long","5.75","67.5","33.75","6","0.04","119.5","2.05","2.41","141","229","342","413"
"890","115","long","5.29","28.75","28.75","7","0.04","136","2.02","2.4","168","231","351","413"
"891","127","long","0.58","42.33","63.5","5","0.06","107","2.05","2.23","154","225","316","389"
"892","116","long","0.76","58","58","7","0.04","119.5","2","2.32","160","233","368","433"
"893","116","long","0.57","29","58","6","0.06","121.5","2.23","2.42","122","179","343","414"
"894","120","long","3.58","60","60","6","0.04","136","2.07","2.39","154","218","356","427"
"895","119","long","3.26","39.67","39.67","7","0.04","123","2.18","2.33","122","181","352","414"
"896","130","long","4.48","65","43.33","6","0.06","130","2.02","2.32","167","243","351","419"
"897","140","long","4.65","46.67","46.67","6","0.06","121","2.11","2.46","132","206","308","381"
"898","118","long","5.07","29.5","39.33","7","0.04","125","2.11","2.46","144","199","349","405"
"899","129","long","4.34","43","32.25","5","0.04","113","2.02","2.38","142","208","327","390"
"900","138","long","1.25","34.5","69","7","0.05","116","2.03","2.22","146","221","341","421"
