"Simulation number","Main_seg_D","Category","Main_seg_ang","d_BA","d_WA","tau.z","tau.v","mean_A","min_speed","max_speed","BA_dep","WA_arr","WA_dep","BA_arr"
"622","134","long","3.99","33.5","33.5","5","0.04","135","2.22","2.51","140","200","333","401"
"623","129","long","3.59","43","32.25","5","0.06","143.5","2.15","2.36","161","223","344","410"
"624","139","long","1.68","69.5","34.75","6","0.04","107.5","1.99","2.32","170","243","396","479"
"625","132","long","3.19","44","33","6","0.05","120","2.32","2.36","135","197","320","387"
"626","122","long","0.28","40.67","30.5","6","0.06","143","2.01","2.18","122","188","349","416"
"627","139","long","0.28","46.33","69.5","7","0.04","107","2.02","2.48","155","231","392","461"
"628","124","long","4.67","41.33","62","7","0.05","120.5","2.13","2.48","173","245","400","463"
"629","116","long","1.89","58","29","5","0.05","128.5","2","2.46","180","242","371","438"
"630","140","long","4.69","70","46.67","6","0.05","141.5","2.03","2.46","177","247","392","485"
"631","115","long","4.01","57.5","38.33","7","0.04","118.5","2.25","2.48","151","205","325","387"
"632","132","long","1.53","44","44","7","0.05","124.5","2.2","2.44","166","234","351","416"
"633","126","long","0.38","63","63","5","0.04","132","2.21","2.42","148","217","330","394"
"634","137","long","0.36","34.25","34.25","6","0.04","118.5","2.19","2.45","177","244","374","439"
"635","128","long","2.14","32","64","7","0.06","128.5","2.08","2.45","157","227","374","444"
"636","125","long","1.53","62.5","31.25","6","0.06","117","2.16","2.4","131","191","262","338"
"637","138","long","1.51","69","34.5","6","0.05","119.5","2.04","2.46","125","201","326","398"
"638","129","long","1.06","64.5","64.5","7","0.06","116","2.15","2.39","154","229","346","419"
"639","134","long","2.79","67","67","7","0.05","129.5","2.09","2.38","156","231","366","440"
"640","122","long","1.2","30.5","30.5","6","0.04","113.5","2.03","2.5","164","222","357","419"
"641","127","long","0.62","63.5","31.75","5","0.05","135.5","2.16","2.44","141","204","322","388"
"642","137","long","2.25","34.25","45.67","5","0.05","122","2.04","2.4","142","218","298","368"
"643","134","long","5.26","33.5","44.67","6","0.06","119.5","1.97","2.43","164","229","336","401"
"644","116","long","3.53","38.67","58","6","0.06","125","2.21","2.42","158","218","368","422"
"645","132","long","3.07","44","33","7","0.04","117","2.02","2.11","172","243","314","390"
"646","129","long","0.55","64.5","43","7","0.04","143","2.08","2.3","178","241","364","445"
"647","116","long","1.56","29","38.67","7","0.05","125","2.04","2.42","164","220","318","379"
"648","120","long","5.1","40","30","7","0.05","107.5","2.03","2.35","124","181","251","315"
"649","126","long","0.18","42","63","6","0.06","128.5","2.03","2.31","174","249","422","486"
"650","120","long","3.38","30","60","6","0.05","118.5","2.09","2.5","144","216","318","381"
"651","139","long","1.35","69.5","69.5","6","0.04","123","1.99","2.48","151","230","367","452"
"652","118","long","5.81","59","39.33","5","0.04","113","2.17","2.46","173","236","349","414"
"653","123","long","0.78","30.75","30.75","6","0.06","128.5","2.01","2.56","147","212","329","395"
"654","140","long","4.69","70","70","6","0.05","129","2.39","2.41","160","230","386","463"
"655","128","long","1.68","32","42.67","6","0.05","124.5","2.06","2.51","163","227","368","431"
"656","134","long","3.56","67","44.67","7","0.06","112","2.07","2.48","127","194","304","392"
"657","131","long","5.66","65.5","32.75","7","0.04","119.5","2.18","2.43","170","233","325","395"
"658","140","long","0.98","70","46.67","7","0.05","123.5","2.07","2.26","126","196","288","378"
"659","125","long","0.67","41.67","62.5","7","0.06","124","2.02","2.31","139","213","349","416"
"660","135","long","0.92","33.75","45","7","0.06","111","2.05","2.33","168","238","381","451"
"661","124","long","4.48","41.33","62","5","0.04","123","2.07","2.48","142","206","302","362"
"662","136","long","3.18","68","68","7","0.04","133.5","2.01","2.27","132","219","330","409"
"663","116","long","2.77","38.67","29","6","0.06","111","2.04","2.25","176","236","316","381"
"664","121","long","3.61","40.33","30.25","6","0.04","133.5","2.02","2.37","177","240","341","401"
"665","129","long","3.19","43","64.5","6","0.04","126","2.05","2.39","140","213","344","413"
"666","125","long","2.27","62.5","41.67","5","0.06","108","2.01","2.45","174","238","374","450"
"667","127","long","3","63.5","42.33","5","0.04","118","2.05","2.35","165","234","345","415"
"668","130","long","5.11","43.33","65","5","0.04","128.5","2.05","2.32","137","215","329","394"
"669","118","long","2.8","29.5","59","7","0.05","128","2.05","2.27","153","224","308","368"
"670","131","long","3.46","32.75","32.75","7","0.05","130","2.34","2.52","141","203","322","382"
"671","123","long","1.78","61.5","30.75","6","0.04","126","2.28","2.46","128","187","287","351"
"672","132","long","1.74","44","66","5","0.06","125.5","2.06","2.36","177","252","391","461"
"673","128","long","2.94","32","64","7","0.05","130.5","2.29","2.46","146","208","311","369"
"674","120","long","2.06","40","60","6","0.04","114.5","2.22","2.5","125","189","287","342"
"675","137","long","3.15","68.5","34.25","7","0.06","144.5","2.04","2.32","169","241","303","381"
"676","125","long","2.76","62.5","62.5","6","0.04","126","2.02","2.5","177","254","423","498"
"677","132","long","3.11","33","33","6","0.05","133","2.08","2.54","120","188","320","391"
"678","139","long","4.2","34.75","69.5","5","0.06","135.5","2.11","2.4","152","225","379","443"
"679","122","long","0.69","61","40.67","5","0.06","126.5","2.14","2.42","126","183","299","375"
"680","120","long","5.62","60","60","5","0.05","120.5","2.4","2.5","163","230","317","375"
"681","126","long","1.74","31.5","42","6","0.04","121.5","2.21","2.3","129","196","269","332"
"682","122","long","1.01","30.5","61","5","0.04","133.5","2.01","2.44","158","224","368","435"
"683","138","long","0.87","46","34.5","7","0.06","124","2.46","2.56","131","192","354","418"
"684","115","long","2.9","57.5","28.75","7","0.05","110.5","2.05","2.4","178","239","372","441"
"685","124","long","1.17","41.33","62","6","0.05","115.5","2.04","2.48","141","217","285","346"
"686","120","long","0.34","60","40","7","0.06","124.5","2.11","2.22","172","232","302","371"
"687","126","long","0.4","63","63","7","0.04","127.5","2.1","2.47","154","225","388","461"
"688","134","long","6.17","33.5","67","7","0.05","111","2.06","2.41","161","238","332","402"
"689","120","long","1.45","30","40","6","0.04","125","2","2.41","143","200","353","411"
"690","123","long","2.43","61.5","61.5","6","0.06","119.5","2.05","2.37","166","230","400","475"
"691","115","long","3.31","28.75","57.5","7","0.06","120","2.04","2.4","123","193","339","399"
"692","118","long","1.38","29.5","59","5","0.05","140","2.03","2.46","143","219","285","342"
"693","125","long","2.33","31.25","62.5","5","0.06","131","2.08","2.5","162","227","364","427"
"694","126","long","5.44","31.5","31.5","7","0.04","129","2.1","2.45","137","195","271","327"
"695","133","long","0.12","44.33","66.5","5","0.04","132.5","2.12","2.46","138","210","324","397"
"696","128","long","1.98","64","64","6","0.05","144.5","2","2.47","121","198","326","393"
"697","132","long","6.06","33","33","5","0.06","124","2.2","2.36","129","193","332","399"
"698","139","long","0.08","69.5","46.33","7","0.05","117","2.15","2.34","152","226","393","466"
"699","136","long","5.3","45.33","34","7","0.06","125.5","2.27","2.52","146","208","368","432"
"700","125","long","1.41","62.5","41.67","7","0.05","107.5","2.07","2.26","155","221","337","407"
"701","135","long","3.51","67.5","33.75","7","0.04","124","2.13","2.41","171","240","402","479"
"702","129","long","2.76","32.25","32.25","7","0.04","126","2.08","2.3","142","208","318","385"
"703","133","long","2.47","33.25","44.33","6","0.04","143","2.13","2.32","173","241","342","404"
"704","118","long","2.36","59","59","5","0.05","127.5","2.03","2.52","159","225","400","458"
"705","139","long","4.63","69.5","46.33","5","0.06","121.5","2.21","2.51","124","187","278","356"
"706","125","long","0.89","41.67","31.25","7","0.06","123","2.04","2.48","157","221","365","426"
"707","137","long","2.75","68.5","34.25","6","0.05","124","2.08","2.41","142","210","351","424"
"708","126","long","0.51","63","63","6","0.06","128.5","2.03","2.4","124","203","286","358"
"709","126","long","3.89","42","63","7","0.05","121","2.12","2.4","172","245","355","423"
"710","138","long","2","69","34.5","7","0.05","134","2.14","2.46","134","204","282","353"
"711","120","long","2.68","30","60","5","0.04","114","2.31","2.5","134","194","320","377"
"712","136","long","2","68","68","7","0.06","130","2.06","2.44","179","260","351","428"
"713","123","long","2.78","61.5","61.5","5","0.06","117","2.12","2.33","157","230","344","411"
"714","125","long","5.83","41.67","41.67","6","0.04","124","2.19","2.5","179","242","372","435"
"715","126","long","1.38","63","42","6","0.05","107","2.12","2.38","141","209","337","404"
"716","132","long","3.16","44","33","5","0.05","137","2.02","2.41","174","237","376","452"
"717","117","long","3.55","29.25","29.25","5","0.04","126.5","2.14","2.44","176","229","362","421"
"718","129","long","4.25","43","64.5","6","0.05","103","2.22","2.53","151","224","357","415"
"719","118","long","2.17","59","29.5","5","0.05","116.5","2.12","2.27","174","234","325","394"
"720","124","long","5.26","62","41.33","7","0.05","125","2.09","2.38","162","230","305","369"
"721","139","long","0.61","69.5","69.5","5","0.06","142.5","2.18","2.46","134","216","352","426"
"722","128","long","5.95","42.67","42.67","7","0.05","131.5","2.11","2.51","128","200","307","365"
"723","128","long","5.41","64","42.67","5","0.05","128","2.06","2.35","155","216","370","444"
"724","135","long","2.36","45","45","6","0.05","132","2.12","2.25","175","250","401","470"
"725","117","long","1.04","39","39","5","0.06","123.5","2.06","2.44","145","209","373","429"
"726","136","long","0.73","45.33","45.33","5","0.06","122","2.05","2.27","123","199","346","420"
"727","132","long","2.78","66","44","7","0.06","124","2.04","2.44","169","235","354","427"
"728","139","long","1.51","46.33","69.5","5","0.06","122.5","2.05","2.44","166","243","401","470"
"729","116","long","5.45","29","58","5","0.04","125","2","2.44","176","253","403","456"
"730","115","long","1.53","57.5","38.33","6","0.05","121.5","2.09","2.42","147","211","319","376"
"731","138","long","4.61","34.5","34.5","6","0.05","102","2.03","2.46","122","188","311","374"
"732","123","long","2.75","61.5","41","7","0.06","113.5","2.12","2.46","121","178","293","360"
"733","117","long","1.24","39","39","7","0.05","129.5","2.05","2.49","133","188","330","392"
"734","127","long","1.9","42.33","31.75","7","0.06","135","2.02","2.44","124","187","291","359"
"735","115","long","1.72","38.33","38.33","5","0.04","144.5","2.02","2.39","179","233","344","404"
"736","136","long","5.1","68","45.33","5","0.06","124.5","2.05","2.43","130","207","348","424"
"737","120","long","2.68","40","40","7","0.04","142","2.11","2.37","173","239","327","390"
